src,dst,num_paths,paths
1,2,8,"[[1, 5, 2], [1, 4, 2], [1, 5, 4, 2], [1, 9, 4, 2], [1, 4, 5, 2], [1, 5, 6, 2], [1, 11, 4, 2], [1, 4, 6, 2]]"
1,3,1,"[[1, 3]]"
1,4,8,"[[1, 4], [1, 11, 4], [1, 9, 4], [1, 5, 4], [1, 9, 7, 4], [1, 5, 2, 4], [1, 5, 7, 4], [1, 5, 6, 4]]"
1,5,8,"[[1, 5], [1, 4, 5], [1, 9, 4, 5], [1, 4, 2, 5], [1, 11, 4, 5], [1, 9, 7, 5], [1, 4, 6, 5], [1, 4, 7, 5]]"
1,6,8,"[[1, 4, 6], [1, 5, 6], [1, 4, 2, 6], [1, 9, 4, 6], [1, 5, 2, 6], [1, 4, 5, 6], [1, 11, 4, 6], [1, 5, 4, 6]]"
1,7,8,"[[1, 4, 7], [1, 5, 7], [1, 9, 7], [1, 4, 5, 7], [1, 5, 4, 7], [1, 11, 4, 7], [1, 9, 4, 7], [1, 4, 9, 7]]"
1,8,8,"[[1, 5, 8], [1, 4, 5, 8], [1, 5, 7, 8], [1, 9, 7, 8], [1, 4, 7, 8], [1, 4, 5, 7, 8], [1, 5, 4, 7, 8], [1, 11, 4, 7, 8]]"
1,9,8,"[[1, 9], [1, 4, 9], [1, 11, 4, 9], [1, 4, 7, 9], [1, 5, 4, 9], [1, 5, 7, 9], [1, 11, 4, 7, 9], [1, 4, 5, 7, 9]]"
1,10,8,"[[1, 9, 10], [1, 4, 9, 10], [1, 11, 4, 9, 10], [1, 4, 7, 9, 10], [1, 5, 4, 9, 10], [1, 5, 7, 9, 10], [1, 11, 4, 7, 9, 10], [1, 4, 5, 7, 9, 10]]"
1,11,8,"[[1, 11], [1, 4, 11], [1, 9, 4, 11], [1, 5, 4, 11], [1, 9, 7, 4, 11], [1, 5, 2, 4, 11], [1, 5, 7, 4, 11], [1, 5, 6, 4, 11]]"
1,12,8,"[[1, 9, 13, 12], [1, 4, 9, 13, 12], [1, 5, 8, 14, 12], [1, 9, 7, 8, 14, 12], [1, 4, 7, 9, 13, 12], [1, 11, 4, 9, 13, 12], [1, 5, 4, 9, 13, 12], [1, 4, 5, 8, 14, 12]]"
1,13,8,"[[1, 9, 13], [1, 4, 9, 13], [1, 11, 4, 9, 13], [1, 4, 7, 9, 13], [1, 5, 4, 9, 13], [1, 5, 7, 9, 13], [1, 11, 4, 7, 9, 13], [1, 4, 5, 7, 9, 13]]"
1,14,8,"[[1, 5, 8, 14], [1, 4, 5, 8, 14], [1, 5, 7, 8, 14], [1, 9, 7, 8, 14], [1, 4, 7, 8, 14], [1, 9, 13, 12, 14], [1, 4, 5, 7, 8, 14], [1, 5, 4, 7, 8, 14]]"
2,3,8,"[[2, 5, 1, 3], [2, 4, 1, 3], [2, 5, 4, 1, 3], [2, 6, 5, 1, 3], [2, 4, 9, 1, 3], [2, 6, 4, 1, 3], [2, 4, 11, 1, 3], [2, 4, 5, 1, 3]]"
2,4,8,"[[2, 4], [2, 6, 4], [2, 5, 4], [2, 6, 5, 4], [2, 5, 1, 4], [2, 5, 7, 4], [2, 5, 6, 4], [2, 6, 5, 1, 4]]"
2,5,8,"[[2, 5], [2, 4, 5], [2, 6, 5], [2, 4, 1, 5], [2, 6, 4, 5], [2, 4, 6, 5], [2, 4, 7, 5], [2, 6, 4, 1, 5]]"
2,6,8,"[[2, 6], [2, 4, 6], [2, 5, 6], [2, 4, 5, 6], [2, 5, 4, 6], [2, 4, 1, 5, 6], [2, 5, 1, 4, 6], [2, 4, 7, 5, 6]]"
2,7,8,"[[2, 4, 7], [2, 5, 7], [2, 4, 5, 7], [2, 6, 4, 7], [2, 5, 4, 7], [2, 4, 9, 7], [2, 6, 5, 7], [2, 5, 8, 7]]"
2,8,8,"[[2, 5, 8], [2, 4, 7, 8], [2, 5, 7, 8], [2, 6, 5, 8], [2, 4, 5, 8], [2, 4, 7, 5, 8], [2, 5, 4, 7, 8], [2, 6, 4, 5, 8]]"
2,9,8,"[[2, 4, 9], [2, 5, 1, 9], [2, 4, 1, 9], [2, 6, 4, 9], [2, 5, 4, 9], [2, 4, 7, 9], [2, 5, 7, 9], [2, 5, 1, 4, 9]]"
2,10,8,"[[2, 4, 9, 10], [2, 5, 1, 9, 10], [2, 4, 1, 9, 10], [2, 6, 4, 9, 10], [2, 5, 4, 9, 10], [2, 4, 7, 9, 10], [2, 5, 7, 9, 10], [2, 5, 1, 4, 9, 10]]"
2,11,8,"[[2, 4, 11], [2, 5, 1, 11], [2, 4, 1, 11], [2, 6, 4, 11], [2, 5, 4, 11], [2, 5, 1, 4, 11], [2, 4, 9, 1, 11], [2, 6, 5, 1, 11]]"
2,12,8,"[[2, 4, 9, 13, 12], [2, 5, 8, 14, 12], [2, 4, 1, 9, 13, 12], [2, 6, 4, 9, 13, 12], [2, 5, 1, 9, 13, 12], [2, 4, 7, 9, 13, 12], [2, 6, 5, 8, 14, 12], [2, 5, 4, 9, 13, 12]]"
2,13,8,"[[2, 4, 9, 13], [2, 5, 1, 9, 13], [2, 4, 1, 9, 13], [2, 6, 4, 9, 13], [2, 5, 4, 9, 13], [2, 4, 7, 9, 13], [2, 5, 7, 9, 13], [2, 5, 1, 4, 9, 13]]"
2,14,8,"[[2, 5, 8, 14], [2, 4, 5, 8, 14], [2, 5, 7, 8, 14], [2, 6, 5, 8, 14], [2, 4, 7, 8, 14], [2, 4, 5, 7, 8, 14], [2, 5, 4, 7, 8, 14], [2, 6, 4, 5, 8, 14]]"
3,4,8,"[[3, 1, 4], [3, 1, 11, 4], [3, 1, 9, 4], [3, 1, 5, 4], [3, 1, 9, 7, 4], [3, 1, 5, 2, 4], [3, 1, 5, 7, 4], [3, 1, 5, 6, 4]]"
3,5,8,"[[3, 1, 5], [3, 1, 4, 5], [3, 1, 9, 4, 5], [3, 1, 4, 2, 5], [3, 1, 11, 4, 5], [3, 1, 9, 7, 5], [3, 1, 4, 6, 5], [3, 1, 4, 7, 5]]"
3,6,8,"[[3, 1, 4, 6], [3, 1, 5, 6], [3, 1, 4, 2, 6], [3, 1, 9, 4, 6], [3, 1, 5, 2, 6], [3, 1, 4, 5, 6], [3, 1, 11, 4, 6], [3, 1, 5, 4, 6]]"
3,7,8,"[[3, 1, 4, 7], [3, 1, 5, 7], [3, 1, 9, 7], [3, 1, 4, 5, 7], [3, 1, 5, 4, 7], [3, 1, 11, 4, 7], [3, 1, 9, 4, 7], [3, 1, 4, 9, 7]]"
3,8,8,"[[3, 1, 5, 8], [3, 1, 9, 7, 8], [3, 1, 5, 7, 8], [3, 1, 4, 7, 8], [3, 1, 4, 5, 8], [3, 1, 9, 4, 7, 8], [3, 1, 9, 7, 5, 8], [3, 1, 5, 4, 7, 8]]"
3,9,8,"[[3, 1, 9], [3, 1, 4, 9], [3, 1, 11, 4, 9], [3, 1, 4, 7, 9], [3, 1, 5, 4, 9], [3, 1, 5, 7, 9], [3, 1, 11, 4, 7, 9], [3, 1, 4, 5, 7, 9]]"
3,10,8,"[[3, 1, 9, 10], [3, 1, 4, 9, 10], [3, 1, 11, 4, 9, 10], [3, 1, 4, 7, 9, 10], [3, 1, 5, 4, 9, 10], [3, 1, 5, 7, 9, 10], [3, 1, 11, 4, 7, 9, 10], [3, 1, 4, 5, 7, 9, 10]]"
